S1,S2,S3,S4,Clase
3285,1472,0,0,Pinza
3217,1668,0,0,Pinza
3252,2064,0,29,Pinza
3264,2139,0,0,Pinza
3218,1627,0,0,Pinza
3228,1823,0,0,Pinza
3271,953,0,0,Pinza
3248,1023,0,10,Pinza
3301,1842,0,0,Pinza
3261,1533,0,0,Pinza
3218,1742,0,16,Pinza
3203,1925,0,13,Pinza
3248,1433,0,0,Pinza
3243,1361,0,0,Pinza
3267,2077,0,0,Pinza
3280,1621,0,0,Pinza
3271,1838,0,0,Pinza
3226,1227,0,11,Pinza
3184,1716,0,0,Pinza
3258,1222,0,0,Pinza
3281,2666,0,17,Pinza
3251,1705,0,22,Pinza
3310,1565,0,34,Pinza
3223,1776,0,12,Pinza
3268,1447,0,79,Pinza
3281,1482,0,144,Pinza
3237,998,0,161,Pinza
3276,1171,0,228,Pinza
3190,1393,0,420,Pinza
3309,1726,0,458,Pinza
3253,1558,0,607,Pinza
3242,1979,0,705,Pinza
3267,1918,0,523,Pinza
3255,1911,0,527,Pinza
3286,1895,0,477,Pinza
3312,1797,0,418,Pinza
3284,1335,0,323,Pinza
3249,1635,0,507,Pinza
3262,1940,0,479,Pinza
3249,1819,0,529,Pinza
3262,1495,0,560,Pinza
3259,1001,0,563,Pinza
3312,1685,0,693,Pinza
3280,1590,0,537,Pinza
3244,1903,0,618,Pinza
3243,2559,0,543,Pinza
3281,2033,0,548,Pinza
3243,1717,0,599,Pinza
3296,1930,0,511,Pinza
3264,2006,0,496,Pinza
3245,1983,0,595,Pinza
3233,2065,0,469,Pinza
3279,1805,0,703,Pinza
3335,1972,0,501,Pinza
3229,1681,0,525,Pinza
3257,1827,0,411,Pinza
3260,2080,0,378,Pinza
3217,2215,0,421,Pinza
3251,1876,0,407,Pinza
3241,1680,0,374,Pinza
3266,1984,0,466,Pinza
3248,2194,0,543,Pinza
3280,1930,0,617,Pinza
3188,1602,0,739,Pinza
3248,1635,0,439,Pinza
3278,1773,0,302,Pinza
3259,2193,0,409,Pinza
3243,1488,0,453,Pinza
3296,1831,0,562,Pinza
3258,1902,0,647,Pinza
3246,1986,0,635,Pinza
3280,2129,0,537,Pinza
3247,1257,0,447,Pinza
3202,1811,0,327,Pinza
3294,1984,0,446,Pinza
3233,1974,0,831,Pinza
3203,1488,0,587,Pinza
3280,1685,0,491,Pinza
3274,1069,0,443,Pinza
3227,1199,0,573,Pinza
3297,1392,0,386,Pinza
3239,1756,0,268,Pinza
3241,1696,0,234,Pinza
3270,1022,0,320,Pinza
3226,765,0,247,Pinza
3275,1189,0,256,Pinza
3274,1583,0,163,Pinza
3229,1267,0,134,Pinza
3344,1104,0,208,Pinza
3302,1249,0,113,Pinza
3162,1093,0,80,Pinza
3089,1730,0,0,Pinza
3200,1899,0,0,Pinza
3293,1789,0,48,Pinza
3282,1622,0,112,Pinza
3229,1856,0,26,Pinza
3257,1584,0,76,Pinza
3239,1808,0,206,Pinza
3248,1750,0,377,Pinza
3200,1870,0,492,Pinza
3262,1819,0,586,Pinza
3246,2111,0,886,Pinza
3279,2000,0,402,Pinza
3255,1903,0,443,Pinza
3235,1706,0,766,Pinza
3309,1407,0,626,Pinza
3256,1665,0,558,Pinza
3280,1269,0,431,Pinza
3232,1613,0,335,Pinza
3257,1942,0,430,Pinza
3322,1858,0,468,Pinza
3278,1149,0,502,Pinza
3283,1055,0,373,Pinza
3262,1625,0,592,Pinza
3228,1664,0,565,Pinza
3267,1652,0,473,Pinza
3282,2170,0,511,Pinza
3227,1766,0,530,Pinza
3235,1643,0,410,Pinza
3210,1681,0,343,Pinza
3257,1631,0,317,Pinza
3253,1719,0,583,Pinza
3226,1271,0,589,Pinza
3295,1759,0,601,Pinza
3186,973,0,433,Pinza
3267,1511,0,498,Pinza
3241,1249,0,409,Pinza
3247,1745,0,454,Pinza
3293,1278,0,413,Pinza
3282,1394,0,478,Pinza
3255,1743,0,406,Pinza
3231,1921,0,469,Pinza
3251,2082,0,467,Pinza
3262,1799,0,508,Pinza
3265,2000,0,466,Pinza
3254,2087,0,279,Pinza
3287,1311,19,431,Pinza
3280,1359,97,635,Pinza
3242,1045,147,787,Pinza
3248,806,0,550,Pinza
3166,1053,0,335,Pinza
3299,1776,0,242,Pinza
3258,2165,0,366,Pinza
3270,1887,0,477,Pinza
3249,2335,0,430,Pinza
3306,2045,0,430,Pinza
3231,1574,0,318,Pinza
3312,1456,0,277,Pinza
3265,1521,0,234,Pinza
3278,1670,0,66,Pinza
3263,1247,0,127,Pinza
3311,1702,0,159,Pinza
3280,2037,0,222,Pinza
3280,1870,0,166,Pinza
3251,1040,0,151,Pinza
3272,1154,0,109,Pinza
3246,1872,0,175,Pinza
3282,2506,0,144,Pinza
3253,1926,0,144,Pinza
3232,1481,0,384,Pinza
3327,2234,0,699,Pinza
3258,2517,0,875,Pinza
3305,2544,0,923,Pinza
3267,1785,0,951,Pinza
3246,1967,0,912,Pinza
3310,1601,0,859,Pinza
3313,1441,0,583,Pinza
3282,1702,0,750,Pinza
3276,1612,0,848,Pinza
3295,1901,0,861,Pinza
3311,1569,0,881,Pinza
3278,1492,0,585,Pinza
3303,1701,0,594,Pinza
3239,1823,0,613,Pinza
3275,1997,0,563,Pinza
3309,1333,0,502,Pinza
3285,1713,0,552,Pinza
3233,1681,0,806,Pinza
3231,1774,0,566,Pinza
3285,2203,0,493,Pinza
3279,1423,0,539,Pinza
3214,986,0,468,Pinza
3203,1022,0,545,Pinza
3294,1661,0,463,Pinza
3259,1986,0,448,Pinza
3274,1951,0,567,Pinza
3263,1971,0,364,Pinza
3248,1807,0,426,Pinza
3292,1664,0,422,Pinza
3287,2021,0,398,Pinza
3257,1394,0,392,Pinza
3312,1490,0,304,Pinza
3261,1986,0,320,Pinza
3309,2189,0,268,Pinza
3285,1490,0,308,Pinza
3263,1521,0,409,Pinza
3245,1346,0,610,Pinza
3210,1329,0,432,Pinza
3257,926,0,298,Pinza
3249,1798,0,258,Pinza
3259,1649,0,95,Pinza
3314,1600,0,170,Pinza
3278,1610,0,137,Pinza
3228,1662,0,169,Pinza
3312,1590,0,256,Pinza
3200,2112,0,97,Pinza
3275,1588,0,108,Pinza
3291,1926,0,134,Pinza
3280,1664,0,215,Pinza
3158,2196,0,186,Pinza
3279,1856,0,191,Pinza
3257,1715,0,253,Pinza
3216,1265,0,260,Pinza
3205,1082,0,382,Pinza
3187,1075,0,442,Pinza
3195,1917,0,537,Pinza
3174,1454,0,848,Pinza
3218,1605,0,910,Pinza
3173,1600,0,751,Pinza
3251,1200,0,818,Pinza
3248,1575,0,1019,Pinza
3257,986,0,1302,Pinza
3245,1587,0,1165,Pinza
3234,1430,0,827,Pinza
3202,1535,0,710,Pinza
3152,1904,0,910,Pinza
3267,1897,0,715,Pinza
3184,2013,0,667,Pinza
3189,1594,0,582,Pinza
3199,1979,0,593,Pinza
3170,1731,0,729,Pinza
3184,1844,0,618,Pinza
3252,1803,0,553,Pinza
3248,1833,0,688,Pinza
3262,1776,0,639,Pinza
3202,2109,0,634,Pinza
3197,1104,0,620,Pinza
3184,567,0,479,Pinza
3178,1885,0,397,Pinza
3249,1701,0,533,Pinza
3246,1793,0,509,Pinza
3197,1307,0,746,Pinza
3227,1774,0,725,Pinza
3195,1782,0,551,Pinza
3216,1712,0,401,Pinza
3194,1776,0,548,Pinza
3247,1267,0,411,Pinza
3219,1829,0,503,Pinza
3314,1921,0,336,Pinza
3184,1825,0,482,Pinza
3254,1904,0,570,Pinza
3218,1990,0,592,Pinza
3263,2058,0,550,Pinza
3271,1170,0,541,Pinza
3246,1461,0,511,Pinza
3247,1813,0,511,Pinza
3303,1970,0,429,Pinza
3296,2224,0,511,Pinza
3286,2181,0,469,Pinza
3206,1990,0,278,Pinza
3307,1651,0,145,Pinza
3234,1178,0,142,Pinza
3266,1655,0,511,Pinza
3266,1560,0,476,Pinza
3283,2029,0,505,Pinza
3260,1840,0,596,Pinza
3239,2115,0,429,Pinza
3248,2152,0,705,Pinza
3206,1955,0,389,Pinza
3255,1815,0,350,Pinza
3264,1997,0,611,Pinza
3244,1781,0,562,Pinza
3205,1819,0,299,Pinza
3289,2238,0,364,Pinza
3303,1789,0,320,Pinza
3273,834,0,288,Pinza
3274,1535,0,386,Pinza
3286,1221,0,395,Pinza
3207,1771,0,414,Pinza
3234,2037,0,559,Pinza
3247,1617,0,405,Pinza
3209,1859,0,496,Pinza
3235,1182,0,576,Pinza
3290,1717,0,569,Pinza
3261,1823,0,496,Pinza
3281,2253,0,799,Pinza
3226,2345,0,688,Pinza
3283,2070,0,816,Pinza
3253,2237,0,569,Pinza
3257,2233,0,496,Pinza
3275,2240,0,570,Pinza
3186,2402,0,607,Pinza
3262,2062,0,848,Pinza
3269,2000,0,919,Pinza
3275,2320,0,848,Pinza
3221,1519,0,857,Pinza
3213,2084,0,816,Pinza
3264,2169,0,630,Pinza
3195,1633,0,730,Pinza
3311,1440,0,656,Pinza
3291,1963,0,672,Pinza
3269,2386,0,617,Pinza
3248,2163,0,620,Pinza
3261,1965,0,477,Pinza
3281,2102,0,566,Pinza
3248,1965,0,540,Pinza
3202,2109,0,546,Pinza
3227,2058,0,523,Pinza
3199,3187,0,617,Pinza
3225,2896,0,730,Pinza
3202,2175,0,451,Pinza
3271,2138,0,705,Pinza
3273,2087,0,633,Pinza
3275,1873,0,624,Pinza
3267,1456,0,447,Pinza
3257,1667,0,683,Pinza
3232,2437,0,574,Pinza
3242,2538,0,503,Pinza
3280,2151,0,576,Pinza
3216,1939,0,398,Pinza
3275,1484,0,451,Pinza
3257,1614,0,412,Pinza
3235,1677,0,224,Pinza
3170,1926,0,101,Pinza
3234,2177,0,143,Pinza
3273,2494,0,368,Pinza
3184,3105,0,112,Pinza
3248,2096,0,167,Pinza
3264,2092,0,304,Pinza
3291,1930,0,385,Pinza
3216,1803,0,249,Pinza
3250,1766,0,182,Pinza
3312,1856,0,253,Pinza
3277,2318,0,427,Pinza
3262,2192,0,552,Pinza
3205,2097,0,623,Pinza
3355,2416,0,572,Pinza
3317,3121,0,425,Pinza
3262,2270,0,385,Pinza
3300,2263,0,471,Pinza
3194,1520,0,548,Pinza
3261,1646,0,445,Pinza
3257,1696,0,415,Pinza
3238,1187,0,384,Pinza
3227,2067,0,350,Pinza
3248,1777,0,247,Pinza
3333,2032,0,244,Pinza
3279,1391,0,151,Pinza
3265,1687,0,342,Pinza
3249,2017,0,302,Pinza
3202,1930,0,406,Pinza
3290,1402,0,399,Pinza
3280,1906,0,538,Pinza
3275,2239,0,853,Pinza
3314,2259,0,727,Pinza
3294,2757,0,546,Pinza
3275,3038,0,784,Pinza
3308,3225,0,1103,Pinza
3238,1874,0,816,Pinza
3255,3269,0,714,Pinza
3300,2064,0,752,Pinza
3311,2130,0,618,Pinza
3321,2151,0,731,Pinza
3223,2165,0,647,Pinza
3266,2885,0,582,Pinza
3259,2306,0,524,Pinza
3280,2557,0,645,Pinza
3264,2965,0,576,Pinza
3200,2913,0,450,Pinza
3262,3280,0,433,Pinza
3274,2630,0,524,Pinza
3328,1744,0,526,Pinza
3266,2391,0,351,Pinza
3267,2510,0,471,Pinza
3262,2191,0,579,Pinza
3259,3263,0,543,Pinza
3231,2608,0,617,Pinza
3281,2419,0,384,Pinza
3275,3219,0,267,Pinza
3286,2236,0,158,Pinza
3278,2075,0,310,Pinza
3296,2000,0,319,Pinza
3216,2795,0,352,Pinza
3296,2130,0,295,Pinza
3223,1963,0,245,Pinza
3200,2063,0,469,Pinza
3269,2667,0,496,Pinza
3233,2787,0,415,Pinza
3302,2369,0,612,Pinza
3226,1726,0,475,Pinza
3307,1661,0,379,Pinza
3229,1955,0,348,Pinza
3320,2446,0,267,Pinza
3379,1570,0,365,Pinza
3239,1811,0,378,Pinza
3266,1453,0,411,Pinza
3238,1331,0,685,Pinza
3207,1883,0,330,Pinza
3185,1878,0,966,Pinza
3232,2265,0,1488,Pinza
3282,1407,0,1074,Pinza
3264,860,0,837,Pinza
3263,1565,0,832,Pinza
3248,1286,0,659,Pinza
3220,1749,0,784,Pinza
3295,2064,0,768,Pinza
3286,2369,0,493,Pinza
3203,1477,0,178,Pinza
3286,1920,0,90,Pinza
3280,1797,0,33,Pinza
3261,2400,0,129,Pinza
3248,1663,0,98,Pinza
3322,2243,0,215,Pinza
3264,2304,0,302,Pinza
3269,2698,0,497,Pinza
3227,2425,0,502,Pinza
3254,2490,0,606,Pinza
3280,3235,0,843,Pinza
3226,3296,0,957,Pinza
3259,2997,0,892,Pinza
3303,3089,0,862,Pinza
3259,3267,0,872,Pinza
3269,3021,0,797,Pinza
3270,3293,0,1040,Pinza
3255,3260,0,1141,Pinza
3266,3257,0,818,Pinza
3270,3223,0,926,Pinza
3258,3280,0,704,Pinza
3270,2832,0,759,Pinza
3312,2985,0,805,Pinza
3246,3267,0,711,Pinza
3270,2880,0,850,Pinza
3248,2307,0,846,Pinza
3283,2818,0,873,Pinza
3257,3219,0,746,Pinza
3207,3233,0,777,Pinza
3289,2592,0,830,Pinza
3307,2579,0,942,Pinza
3269,2998,0,938,Pinza
3255,3259,0,844,Pinza
3243,2848,0,734,Pinza
3211,2514,0,753,Pinza
3255,3211,0,768,Pinza
3274,2137,0,915,Pinza
3331,2769,0,690,Pinza
3269,3008,0,602,Pinza
3268,2719,0,511,Pinza
3230,3221,0,510,Pinza
3298,3015,0,466,Pinza
3225,3222,0,659,Pinza
3299,3216,0,548,Pinza
3230,3165,0,562,Pinza
3239,3221,0,378,Pinza
3313,3055,0,499,Pinza
3278,3183,0,673,Pinza
3259,2795,0,560,Pinza
3293,2336,0,501,Pinza
3280,2435,0,561,Pinza
3251,2297,0,960,Pinza
3244,2337,0,654,Pinza
3216,2718,0,574,Pinza
3264,2871,0,400,Pinza
3312,3172,0,194,Pinza
3291,2494,0,380,Pinza
3201,2726,0,585,Pinza
3280,2915,0,1166,Pinza
3226,3257,0,1439,Pinza
3265,3083,0,1360,Pinza
3301,2241,0,905,Pinza
3278,1904,0,831,Pinza
3232,1360,0,567,Pinza
3264,1821,0,571,Pinza
3293,1968,0,653,Pinza
3294,1599,0,421,Pinza
3277,1566,0,395,Pinza
3251,2150,0,347,Pinza
3225,2193,0,335,Pinza
3248,2867,0,293,Pinza
3325,2630,0,272,Pinza
3243,2087,0,206,Pinza
3264,2217,0,120,Pinza
3264,2315,0,289,Pinza
3335,1962,0,545,Pinza
3297,1851,0,670,Pinza
3231,1773,0,566,Pinza
3217,2892,0,815,Pinza
3241,2000,0,743,Pinza
3312,3302,0,583,Pinza
3253,2849,0,721,Pinza
3253,3230,0,862,Pinza
3258,3248,0,980,Pinza
3273,3258,0,1036,Pinza
3284,3248,0,1009,Pinza
3293,2448,0,834,Pinza
3247,2869,0,690,Pinza
3264,2615,0,561,Pinza
3216,3223,0,631,Pinza
3259,3267,0,622,Pinza
3265,3270,0,566,Pinza
3213,2559,0,630,Pinza
3253,3184,0,427,Pinza
3289,3275,0,598,Pinza
3286,3238,0,619,Pinza
3277,3277,0,425,Pinza
3286,3089,0,475,Pinza
3273,3093,0,419,Pinza
3309,3266,0,449,Pinza
3248,2105,0,451,Pinza
3257,3284,0,561,Pinza
3251,2792,0,560,Pinza
3258,3248,0,465,Pinza
3218,2767,0,412,Pinza
3245,3251,0,374,Pinza
3248,2417,0,363,Pinza
3210,3227,0,268,Pinza
3279,3186,0,496,Pinza
3280,2355,0,368,Pinza
3248,2763,0,380,Pinza
3211,2286,0,534,Pinza
3229,2716,0,407,Pinza
3216,2428,0,461,Pinza
3274,1831,0,577,Pinza
3296,1255,0,411,Pinza
3261,2348,0,322,Pinza
3275,2639,0,176,Pinza
3286,2887,0,308,Pinza
3262,2033,0,231,Pinza
3230,3168,0,253,Pinza
3197,2263,0,217,Pinza
3261,1567,0,181,Pinza
3231,2418,0,347,Pinza
3278,3229,0,435,Pinza
3223,2559,0,563,Pinza
3309,3312,0,458,Pinza
3325,2531,0,688,Pinza
3287,1693,0,720,Pinza
3312,2598,0,647,Pinza
3229,2005,0,720,Pinza
3264,2112,0,494,Pinza
3216,2028,0,224,Pinza
3203,3210,0,81,Pinza
3261,3089,0,29,Pinza
3196,1936,0,90,Pinza
3228,1811,0,188,Pinza
3205,2106,0,276,Pinza
3207,2499,0,381,Pinza
3249,2860,0,240,Pinza
3286,2245,0,272,Pinza
3327,1680,0,242,Pinza
3218,2138,0,406,Pinza
3210,2160,0,463,Pinza
3268,2213,0,560,Pinza
3261,2204,0,472,Pinza
3248,3277,0,389,Pinza
3328,2320,0,327,Pinza
3271,3029,0,507,Pinza
3193,2095,0,479,Pinza
3221,2189,0,315,Pinza
3315,2078,0,473,Pinza
3264,2149,0,411,Pinza
3257,2298,0,432,Pinza
3299,2846,0,288,Pinza
3274,2382,0,386,Pinza
3215,2273,0,709,Pinza
3242,1968,0,618,Pinza
3265,2181,0,506,Pinza
3233,1378,0,559,Pinza
3269,1251,0,483,Pinza
3221,2159,0,340,Pinza
3296,1906,0,319,Pinza
3287,1328,0,401,Pinza
3296,2554,0,447,Pinza
3283,2209,0,450,Pinza
3269,2174,0,656,Pinza
3287,2096,0,731,Pinza
3259,1969,0,638,Pinza
3279,2057,0,659,Pinza
3215,1834,0,709,Pinza
3286,2704,0,539,Pinza
3249,2511,0,672,Pinza
3280,2530,0,904,Pinza
3218,3259,0,743,Pinza
3184,3246,0,528,Pinza
3277,2253,0,467,Pinza
3321,2470,0,656,Pinza
3258,3055,0,573,Pinza
3321,2250,0,350,Pinza
3235,2896,0,453,Pinza
3297,2291,0,721,Pinza
3290,1727,0,926,Pinza
3280,2015,0,863,Pinza
3291,2112,0,564,Pinza
3272,1961,0,335,Pinza
3273,2109,0,368,Pinza
3259,1979,0,217,Pinza
3265,2240,0,263,Pinza
3282,1691,0,302,Pinza
3248,2797,0,479,Pinza
3283,2599,0,627,Pinza
3296,2315,0,511,Pinza
3293,1726,0,641,Pinza
3257,1932,0,768,Pinza
3247,2588,0,592,Pinza
3237,2014,0,308,Pinza
3311,2095,0,294,Pinza
3214,1728,0,192,Pinza
3215,3277,0,175,Pinza
3175,2126,0,244,Pinza
3213,2212,0,146,Pinza
3334,2035,0,144,Pinza
3295,1414,0,127,Pinza
3281,2206,0,131,Pinza
3223,2339,0,135,Pinza
3280,2382,0,234,Pinza
3306,2324,0,234,Pinza
3247,2316,0,803,Pinza
3266,2542,0,687,Pinza
3220,2706,0,658,Pinza
3222,2495,0,883,Pinza
3238,2505,0,907,Pinza
3274,2699,0,702,Pinza
